"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Hours of physical-restraint use,0.00,0,3,,Hours of seclusion use,25.69,1.85,3,,Screening for metabolic disorders (SMD),98,109,,Alcohol use brief intervention provided or offered,24,17,,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,61,31,,0,31,,Transition record with specified elements received by discharged patients (TR1),93,175,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,104,20.8,15.5,27.2,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),68,40,,10/01/2024,03/31/2025
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Screening for metabolic disorders (SMD),40,47,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,25,12,,25,12,,Tobacco use treatment provided or offered at discharge,0,15,,0,15,,Transition record with specified elements received by discharged patients (TR1),38,104,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,152,20.4,16.0,25.7,29,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),78,190,,10/01/2024,03/31/2025
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,3795,,Hours of seclusion use,0.00,0,3795,,Screening for metabolic disorders (SMD),100,164,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,100,24,,83,24,,Transition record with specified elements received by discharged patients (TR1),98,203,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,128,18.1,13.6,23.8,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),95,66,,10/01/2024,03/31/2025
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,7638,,Hours of seclusion use,0.00,0,7638,,Screening for metabolic disorders (SMD),95,447,,Alcohol use brief intervention provided or offered,96,45,,100,43,,Alcohol and other drug use disorder treatment provided or offered at discharge,87,92,,87,92,,Tobacco use treatment provided or offered at discharge,69,127,,69,127,,Transition record with specified elements received by discharged patients (TR1),94,664,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,91,21.9,16.5,28.3,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),97,313,,10/01/2024,03/31/2025
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.00,0,3798,,Hours of seclusion use,0.00,0,3798,,Screening for metabolic disorders (SMD),38,55,,Alcohol use brief intervention provided or offered,0,24,,0,20,,Alcohol and other drug use disorder treatment provided or offered at discharge,77,22,,73,22,,Tobacco use treatment provided or offered at discharge,48,33,,30,33,,Transition record with specified elements received by discharged patients (TR1),0,106,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,25,17,12.0,23.5,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),59,44,,10/01/2024,03/31/2025
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.05,16.45,14060,,Hours of seclusion use,1.25,421.05,14060,,Screening for metabolic disorders (SMD),97,399,,Alcohol use brief intervention provided or offered,73,124,,78,93,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,231,,94,231,,Tobacco use treatment provided or offered at discharge,66,210,,19,210,,Transition record with specified elements received by discharged patients (TR1),81,636,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,87,20.5,15.8,26.2,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),86,310,,10/01/2024,03/31/2025
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.11,87.67,32803,,Hours of seclusion use,1.43,1123.43,32803,,Screening for metabolic disorders (SMD),92,397,,Alcohol use brief intervention provided or offered,98,199,,100,196,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,167,,98,167,,Tobacco use treatment provided or offered at discharge,87,141,,0,141,,Transition record with specified elements received by discharged patients (TR1),98,721,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,54.7,64,,28.1,64,,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,82.1,95,,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,171,19.2,15.3,23.6,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),75,344,,10/01/2024,03/31/2025
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,0.00,0,717,,Hours of seclusion use,0.00,0,717,,Screening for metabolic disorders (SMD),98,43,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),44,86,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,57,21.6,15.6,29.7,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),75,36,,10/01/2024,03/31/2025
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,10377,,Hours of seclusion use,0.00,0,10377,,Screening for metabolic disorders (SMD),89,419,,Alcohol use brief intervention provided or offered,99,108,,50,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,38,185,,33,185,,Tobacco use treatment provided or offered at discharge,69,228,,0,228,,Transition record with specified elements received by discharged patients (TR1),100,629,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,48.8,86,,22.1,86,,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,82.9,140,,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,263,21.6,17.8,26.3,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),84,290,,10/01/2024,03/31/2025
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,Hours of physical-restraint use,0.06,22.32,16190,,Hours of seclusion use,0.02,6.8,16190,,Screening for metabolic disorders (SMD),88,232,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,42,12,,33,12,,Tobacco use treatment provided or offered at discharge,42,12,,8,12,,Transition record with specified elements received by discharged patients (TR1),7,292,,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,117,18.4,13.9,24.4,,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),86,130,,10/01/2024,03/31/2025
